"","GDP.PPP.","Indus Employment","Agri Employment","GHG Emission","Renew Energy","Fossile Fuel","Energy.Use.PC","CO2.Emissions.PC","Population.Total","Protected Area","Paris_Agreement_Code","Polityxconst","UNmentions"
"64",4588431072.38016,19.8424439532246,28.1509994476046,6040.18665224434,37.4729935627957,61.4398230025765,956.774911523684,2.42362963793245,755885,5.28,2,6,47
"65",15725276475.9497,14.5258581806737,38.3406254695718,8692.02016542594,80.3736139496969,17.9352608739881,387.648737147994,0.218875903209989,10144445,0.06,1,0,5
"66",33840172480.3434,19.0999997456868,37.4333330790202,20071.6716081433,53.4778830155973,51.600017023045,644.864232738024,1.1330528873205,7620473.33333333,7.78,2,5,3
"67",222826460583.511,30.5666662851969,4.80000003178914,64541.3927161909,9.62712609885129,73.0685850370197,2481.86286405062,4.76641099314268,9964037.33333333,22.55,2,7,7
"68",12587295168.4195,18.3333333333333,5.40000009536743,5478.69872087623,77.1693331212724,10.7018194639358,17603.6121295476,5.96553047648609,319257,2.32,2,-0.259911230563531,16
"69",5770154007268.51,27.6790330711187,54.4402982133177,2867732.50421947,39.8234270193123,71.7765138577762,577.373636741402,1.49162547045144,1247340051.33333,3.13,2,7,8
"70",2173102600827.85,20.5666662851969,36.5999997456868,762964.651013877,37.7846055724756,66.1469483193585,853.182083839983,2.17795382878242,244819744.333333,6.01,2,7,15
"71",430456152624.619,22.5151132479369,13.6366738877742,151296.766091693,1.51979012957872,97.3784799310729,1277.51060105928,4.16002044504153,31897845.3333333,0.38,0,6,2
"72",207385788682.197,19.2666670481364,4.96666669845581,63097.4540783405,6.43387867907144,88.0188729665264,2970.53840776371,8.14665253257673,4574615.33333333,3.48,2,7,12
"73",235904825432.431,19.2333335876465,1.40000001589457,81606.9277296647,8.73453500571447,96.4980144226465,3030.11755727402,9.16169309928277,7766633.33333333,8.62,2,7,0
"74",2105897809729.97,28.3666661580403,3.53333330154419,484904.390190559,11.0953045882561,84.5614337045391,2795.88633510933,6.58199216921268,59398861,13.32,2,7,5
"75",22722627803.8451,15.8333333333333,18.6333338419596,15036.5013243729,14.078987148717,82.5340442010245,1034.09573242377,2.75437692279556,2699489,1.4,1,7,23
"76",4420807335919.81,26.1302051089387,5.23002987494408,1408684.68518174,4.53502584225265,88.3719472562462,3684.44748987434,9.36916906848622,127816255.333333,2.09,2,7,5
"77",69832996983.8974,18.1333338419597,1.90000001589457,26409.8058970884,3.01880831174482,96.8872027687475,1085.76588485356,3.33627899914423,6757578,2.13,2,3,0
"78",363879996960.927,19.0333334604899,26.7666664123535,354778.004595034,1.37417478873657,98.8651127998962,4435.01190337359,15.1116237661918,16556535.3333333,3.29,1,2,4
"79",108197140013.266,15.665780312596,36.6536564382911,53497.0634486658,77.3207966183223,18.4078254829522,483.575686043808,0.306993526047077,41430415,10.57,1,7,11
"80",173747850.275479,19.2226071406991,18.3619986069673,56.6516611296588,16.2521603670523,84.8600228328864,550.36775444544,0.595871497895853,104643.333333333,11.81,2,8.46968842991737,72
"81",245400624317.331,27.7740896989703,-7.12318699433221,96680.2930554504,-39.785653899952,133.386524685489,10229.2556912542,28.9918999972938,3239411.66666667,10.97,1,3,8
"82",39817342623.89,23.3333333333333,8.36666679382324,14254.6736454528,37.0564358073343,62.2619297580902,2128.62565083687,3.6220050107945,2063861,17.78,1,7,10
"83",72070643188.4553,22.540797405603,17.3038618364071,19767.5797702524,5.15926011878309,95.6210787723871,1436.68625505183,4.55849797881103,4617703.66666667,0.93,1,6,0
"84",4687643741.68398,21.9213728553859,22.3035753509885,3449.13069513011,22.0786811887609,82.1171456205275,246.203928788646,1.09529909155014,2033622.33333333,0.54,1,7,15
"85",2992974028.59084,13.495061562322,44.399180384393,2796.62015729634,84.4830188830204,15.430965782308,641.087101615228,0.222095439897336,4075906.33333333,0.78,1,6,3
